"indicator","area_name","area_code","area_type","year","period","numerator","measure","lower_confidence_interval","upper_confidence_interval","definition","data_source"
"Alcohol-related hospital admissions","Oldmachar West","S02001280","Intermediate zone",2012,"2012/13 financial year",12,281.7,146.99,486.1,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Oldmachar East","S02001281","Intermediate zone",2012,"2012/13 financial year",27,531.3,342.56,781.72,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Balgownie & Donmouth West","S02001282","Intermediate zone",2012,"2012/13 financial year",21,527.9,325.73,808.28,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Balgownie & Donmouth East","S02001283","Intermediate zone",2012,"2012/13 financial year",15,707.98,381.33,1183.38,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Denmore","S02001284","Intermediate zone",2012,"2012/13 financial year",3,120.48,32.31,308.68,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","East Cairngorms","S02001285","Intermediate zone",2012,"2012/13 financial year",12,385.68,182.26,705.87,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Aboyne & South Deeside","S02001286","Intermediate zone",2012,"2012/13 financial year",6,106.9,38.98,232.79,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Mearns & Laurencekirk","S02001287","Intermediate zone",2012,"2012/13 financial year",6,132.67,48.16,289.31,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Mearns South & Benholm","S02001288","Intermediate zone",2012,"2012/13 financial year",6,176.2,43.24,422.65,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Mearns North & Inverbervie","S02001289","Intermediate zone",2012,"2012/13 financial year",15,282.65,146.48,486.1,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Fetteresso, Netherley & Catter","S02001290","Intermediate zone",2012,"2012/13 financial year",6,221.54,80.88,482.25,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Stonehaven South","S02001291","Intermediate zone",2012,"2012/13 financial year",30,542.29,364.34,776.12,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Stonehaven North","S02001292","Intermediate zone",2012,"2012/13 financial year",18,297.08,174.21,472.06,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Newtonhill","S02001293","Intermediate zone",2012,"2012/13 financial year",3,101.42,19.97,297.32,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Portlethen","S02001294","Intermediate zone",2012,"2012/13 financial year",6,131.1,40.64,309.1,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Banchory-Devenick & Findon","S02001295","Intermediate zone",2012,"2012/13 financial year",6,116.82,36.55,274.76,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Dunecht, Durris & Drumoak","S02001296","Intermediate zone",2012,"2012/13 financial year",9,169.89,69.05,341.76,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Banchory East","S02001297","Intermediate zone",2012,"2012/13 financial year",9,251.93,119.44,465.23,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Banchory West","S02001298","Intermediate zone",2012,"2012/13 financial year",12,353.3,181.04,619.19,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Crathes & Torphins","S02001299","Intermediate zone",2012,"2012/13 financial year",6,160.98,56.47,354.69,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Cromar & Kildrummy","S02001300","Intermediate zone",2012,"2012/13 financial year",12,259.8,125.35,471.44,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Howe of Alford","S02001301","Intermediate zone",2012,"2012/13 financial year",9,190.94,82.33,370.43,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Kemnay","S02001302","Intermediate zone",2012,"2012/13 financial year",21,557.29,333.62,870.04,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Inverurie North","S02001303","Intermediate zone",2012,"2012/13 financial year",15,281.48,159.12,459.56,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Inverurie South","S02001304","Intermediate zone",2012,"2012/13 financial year",33,702.12,483.99,983.99,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Durno-Chapel of Garioch","S02001305","Intermediate zone",2012,"2012/13 financial year",6,86.89,27.79,203.18,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Kintore","S02001306","Intermediate zone",2012,"2012/13 financial year",6,126.99,50.22,262.82,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Blackburn-Aberdeenshire","S02001307","Intermediate zone",2012,"2012/13 financial year",0,55.63,3.34,209.42,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Westhill North & South","S02001308","Intermediate zone",2012,"2012/13 financial year",6,135.69,48.38,297.52,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Westhill Central","S02001309","Intermediate zone",2012,"2012/13 financial year",9,228.75,107.4,424.11,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Garlogie & Elrick","S02001310","Intermediate zone",2012,"2012/13 financial year",6,190.75,57.9,436.97,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Newmachar & Fintray","S02001311","Intermediate zone",2012,"2012/13 financial year",12,261.67,127.92,472.21,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Balmedie & Potterton","S02001312","Intermediate zone",2012,"2012/13 financial year",15,253.43,141.32,418.64,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Ellon East","S02001313","Intermediate zone",2012,"2012/13 financial year",15,291.02,161.02,482.6,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Ellon West","S02001314","Intermediate zone",2012,"2012/13 financial year",15,400.52,225.8,654.81,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Ythanside","S02001315","Intermediate zone",2012,"2012/13 financial year",12,313.2,148.55,567.36,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Ythsie","S02001316","Intermediate zone",2012,"2012/13 financial year",6,105.57,41.97,218.09,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Barrahill","S02001317","Intermediate zone",2012,"2012/13 financial year",18,402.24,237.31,637.11,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Fyvie-Rothie","S02001318","Intermediate zone",2012,"2012/13 financial year",9,204.71,84.82,409.06,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Insch, Oyne & Ythanwells","S02001319","Intermediate zone",2012,"2012/13 financial year",12,281.03,147.84,483.1,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Clashindarroch","S02001320","Intermediate zone",2012,"2012/13 financial year",15,299.48,160.25,507.5,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Huntly","S02001321","Intermediate zone",2012,"2012/13 financial year",42,926.34,659.56,1263.19,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Auchterless & Monquhitter","S02001322","Intermediate zone",2012,"2012/13 financial year",3,129.13,33.94,332.3,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Turriff","S02001323","Intermediate zone",2012,"2012/13 financial year",24,538.14,343.96,801.74,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Portsoy, Fordyce & Cornhill","S02001324","Intermediate zone",2012,"2012/13 financial year",15,520.46,285.97,866.01,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Aberchirder & Whitehills","S02001325","Intermediate zone",2012,"2012/13 financial year",12,301.67,152.23,532.34,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Banff","S02001326","Intermediate zone",2012,"2012/13 financial year",24,558.04,349.14,843.52,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Macduff","S02001327","Intermediate zone",2012,"2012/13 financial year",12,328.88,174.56,563.03,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Gardenstown & King Edward","S02001328","Intermediate zone",2012,"2012/13 financial year",9,242.55,100.7,484.31,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","New Pitsligo","S02001329","Intermediate zone",2012,"2012/13 financial year",12,290.71,139.74,528.35,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Deer & Mormond","S02001330","Intermediate zone",2012,"2012/13 financial year",12,277.25,146.39,475.79,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Mintlaw","S02001331","Intermediate zone",2012,"2012/13 financial year",9,324.79,137.21,644.5,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Auchnagatt","S02001332","Intermediate zone",2012,"2012/13 financial year",9,285.94,127.8,547.27,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Cruden","S02001333","Intermediate zone",2012,"2012/13 financial year",15,349.35,197.49,570.35,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Peterhead Links","S02001334","Intermediate zone",2012,"2012/13 financial year",18,446.4,263.58,704.29,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Peterhead Bay","S02001335","Intermediate zone",2012,"2012/13 financial year",15,577.48,319.34,957.89,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Peterhead Harbour","S02001336","Intermediate zone",2012,"2012/13 financial year",57,995.13,745.9,1299.31,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Peterhead Ugieside","S02001337","Intermediate zone",2012,"2012/13 financial year",9,211.17,101.01,388.52,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Longside & Rattray","S02001338","Intermediate zone",2012,"2012/13 financial year",12,196.68,99.64,346.48,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Rosehearty & Strathbeg","S02001339","Intermediate zone",2012,"2012/13 financial year",21,348.06,213.52,534.65,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Fraserburgh Smiddyhill","S02001340","Intermediate zone",2012,"2012/13 financial year",15,360.98,198.33,600.68,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Fraserburgh Lochpots","S02001341","Intermediate zone",2012,"2012/13 financial year",15,637.62,353.39,1051.28,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Fraserburgh Central-Academy","S02001342","Intermediate zone",2012,"2012/13 financial year",27,937.23,610.84,1374.96,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Fraserburgh Harbour & Broadsea","S02001343","Intermediate zone",2012,"2012/13 financial year",27,788.95,510.5,1162.4,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","South Angus","S02001344","Intermediate zone",2012,"2012/13 financial year",6,121.31,46.92,252.93,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Monikie","S02001345","Intermediate zone",2012,"2012/13 financial year",9,203.98,65.17,440.56,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Monifieth West","S02001346","Intermediate zone",2012,"2012/13 financial year",6,233.47,79.77,505.41,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Monifieth East","S02001347","Intermediate zone",2012,"2012/13 financial year",24,520.67,330.7,776.96,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Carnoustie West","S02001348","Intermediate zone",2012,"2012/13 financial year",33,607.8,413.35,860.04,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Carnoustie East","S02001349","Intermediate zone",2012,"2012/13 financial year",12,210.11,110.77,360.83,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Arbroath Landward","S02001350","Intermediate zone",2012,"2012/13 financial year",3,155,37.3,406.22,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Arbroath Kirkton","S02001351","Intermediate zone",2012,"2012/13 financial year",12,204.79,104.73,359.24,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Arbroath Keptie","S02001352","Intermediate zone",2012,"2012/13 financial year",15,367.37,196.93,622.02,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Arbroath Harbour","S02001353","Intermediate zone",2012,"2012/13 financial year",45,959.53,692.61,1293.81,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Arbroath Cliffburn","S02001354","Intermediate zone",2012,"2012/13 financial year",18,378.42,218.73,608.19,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Arbroath Warddykes","S02001355","Intermediate zone",2012,"2012/13 financial year",39,816.02,572.13,1126.8,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Lunan","S02001356","Intermediate zone",2012,"2012/13 financial year",9,274.71,124.45,523,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Montrose South","S02001357","Intermediate zone",2012,"2012/13 financial year",57,1006.82,758.55,1309.82,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Montrose North","S02001358","Intermediate zone",2012,"2012/13 financial year",24,478.37,304.37,714.58,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Hillside","S02001359","Intermediate zone",2012,"2012/13 financial year",3,136.78,35.18,353.65,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Friockheim","S02001360","Intermediate zone",2012,"2012/13 financial year",18,380.48,220.82,610.21,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Brechin East","S02001361","Intermediate zone",2012,"2012/13 financial year",21,573.11,353.29,877.96,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Brechin West","S02001362","Intermediate zone",2012,"2012/13 financial year",9,177.87,75.56,352.25,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Letham & Glamis","S02001363","Intermediate zone",2012,"2012/13 financial year",12,198.97,96.87,356.58,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Forfar East","S02001364","Intermediate zone",2012,"2012/13 financial year",9,206.45,96.42,383.59,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Forfar Central","S02001365","Intermediate zone",2012,"2012/13 financial year",21,462.95,281.42,716.77,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Forfar West","S02001366","Intermediate zone",2012,"2012/13 financial year",12,243.91,124.41,428.37,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Kirriemuir Landward","S02001367","Intermediate zone",2012,"2012/13 financial year",3,128.62,34.19,330.17,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Kirriemuir","S02001368","Intermediate zone",2012,"2012/13 financial year",9,147.11,65.92,281.28,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Angus Glens","S02001369","Intermediate zone",2012,"2012/13 financial year",6,210.67,76.14,460.02,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Mull, Iona, Coll & Tiree","S02001370","Intermediate zone",2012,"2012/13 financial year",6,134.12,38.3,322.67,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Oban South","S02001371","Intermediate zone",2012,"2012/13 financial year",84,1530.99,1217.64,1899.61,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Oban North","S02001372","Intermediate zone",2012,"2012/13 financial year",12,400.58,198.42,718.8,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Benderloch Trail","S02001373","Intermediate zone",2012,"2012/13 financial year",27,507.21,329.23,744.6,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Loch Awe","S02001374","Intermediate zone",2012,"2012/13 financial year",15,551.75,304.79,911.18,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Mid Argyll","S02001375","Intermediate zone",2012,"2012/13 financial year",9,311.52,145.79,578.31,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Greater Lochgilphead","S02001376","Intermediate zone",2012,"2012/13 financial year",30,867.91,586,1236.68,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Knapdale","S02001377","Intermediate zone",2012,"2012/13 financial year",18,628.82,347.6,1029.31,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Whisky Isles","S02001378","Intermediate zone",2012,"2012/13 financial year",30,767.34,501.38,1118.47,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Kintyre Trail","S02001379","Intermediate zone",2012,"2012/13 financial year",6,134.25,42.77,314.27,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Campbeltown","S02001380","Intermediate zone",2012,"2012/13 financial year",51,1076.43,796.94,1420.85,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Bute","S02001381","Intermediate zone",2012,"2012/13 financial year",9,421.48,160.82,852.23,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Rothesay Town","S02001382","Intermediate zone",2012,"2012/13 financial year",39,1063.38,741.92,1470.46,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Cowal South","S02001383","Intermediate zone",2012,"2012/13 financial year",18,503.5,280.73,824.04,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Cowal North","S02001384","Intermediate zone",2012,"2012/13 financial year",15,355.59,194.34,590.27,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Hunter's Quay","S02001385","Intermediate zone",2012,"2012/13 financial year",30,604.8,403.44,868.2,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Dunoon","S02001386","Intermediate zone",2012,"2012/13 financial year",63,1310.49,1002.57,1682.59,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Garelochhead","S02001387","Intermediate zone",2012,"2012/13 financial year",27,455.69,292.04,675.17,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Helensburgh West & Rhu","S02001388","Intermediate zone",2012,"2012/13 financial year",39,822.63,574.38,1138.95,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Helensburgh North","S02001389","Intermediate zone",2012,"2012/13 financial year",15,321.3,172.17,544.11,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Helensburgh Centre","S02001390","Intermediate zone",2012,"2012/13 financial year",27,842.9,551.6,1231.44,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Helensburgh East","S02001391","Intermediate zone",2012,"2012/13 financial year",39,1120.36,790.08,1538.61,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Lomond Shore","S02001392","Intermediate zone",2012,"2012/13 financial year",12,360.64,178.28,642.12,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Tullibody South","S02001393","Intermediate zone",2012,"2012/13 financial year",18,419.97,245.17,668.9,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Tullibody North & Glenochil","S02001394","Intermediate zone",2012,"2012/13 financial year",18,362.24,199.6,596.27,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Menstrie","S02001395","Intermediate zone",2012,"2012/13 financial year",9,319.53,136.19,632.02,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Alva","S02001396","Intermediate zone",2012,"2012/13 financial year",27,570.19,374.75,829.49,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Fishcross, Devon Village & Coalsnaughton","S02001397","Intermediate zone",2012,"2012/13 financial year",15,611.86,341.44,1010.35,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Tillicoultry","S02001398","Intermediate zone",2012,"2012/13 financial year",42,909.86,636.22,1254.41,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Dollar & Muckhart","S02001399","Intermediate zone",2012,"2012/13 financial year",3,91.16,24.51,233.42,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Clackmannan, Kennet & Forestmill","S02001400","Intermediate zone",2012,"2012/13 financial year",18,391.17,231.18,619,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Sauchie","S02001401","Intermediate zone",2012,"2012/13 financial year",18,368.38,220.16,577.46,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Alloa South & East","S02001402","Intermediate zone",2012,"2012/13 financial year",60,1276.87,967.31,1652.12,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Alloa North","S02001403","Intermediate zone",2012,"2012/13 financial year",21,409.87,253.07,625.66,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Alloa West","S02001404","Intermediate zone",2012,"2012/13 financial year",9,260.73,123.63,481.46,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Stranraer West","S02001405","Intermediate zone",2012,"2012/13 financial year",24,829.06,531.34,1230.69,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Stranraer East","S02001406","Intermediate zone",2012,"2012/13 financial year",24,886.91,571.5,1312.42,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Stranraer South","S02001407","Intermediate zone",2012,"2012/13 financial year",12,345.34,169.96,621.4,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Rhins North","S02001408","Intermediate zone",2012,"2012/13 financial year",30,780.89,515.48,1128.08,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Rhins South","S02001409","Intermediate zone",2012,"2012/13 financial year",9,458.27,195.47,892.53,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Machars North","S02001410","Intermediate zone",2012,"2012/13 financial year",9,375.76,174.31,700.05,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Machars South","S02001411","Intermediate zone",2012,"2012/13 financial year",21,380.94,233.46,583.93,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Newton Stewart","S02001412","Intermediate zone",2012,"2012/13 financial year",24,463.36,295.88,689.31,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Gatehouse","S02001413","Intermediate zone",2012,"2012/13 financial year",12,247.61,116.86,453.43,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Kirkcudbright","S02001414","Intermediate zone",2012,"2012/13 financial year",30,520.61,349.06,746.02,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Castle Douglas","S02001415","Intermediate zone",2012,"2012/13 financial year",18,441.75,260.29,697.73,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Dalbeattie","S02001416","Intermediate zone",2012,"2012/13 financial year",18,454.67,267.07,719.29,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Dalbeattie Rural","S02001417","Intermediate zone",2012,"2012/13 financial year",12,409.64,195.36,746.94,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Glenkens","S02001418","Intermediate zone",2012,"2012/13 financial year",18,452.51,248.11,743.61,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Upper Nithsdale","S02001419","Intermediate zone",2012,"2012/13 financial year",12,275.97,141.9,479.39,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Thornhill","S02001420","Intermediate zone",2012,"2012/13 financial year",3,120.08,19.86,361.12,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Mid Nithsdale","S02001421","Intermediate zone",2012,"2012/13 financial year",12,234.97,124.38,402.76,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Shawhead","S02001422","Intermediate zone",2012,"2012/13 financial year",9,282.63,120.78,558.47,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
